vessel_name,MMSI,Flag,flag_ais,imo,vessel_class_cat,vessel_class_confidence,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,trip_start_confidence,trip_end,trip_end_confidence,trip_duration_days,end_port,dak_general,dak_fishing,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,percent_ais_voyage,vv_url
YIFENG7,412200996,CHN,CHN,NA,fishing,med,fishing,trawlers,SEN,DAKAR,24/03/2025 20:28,4,27/03/2025 02:47,4,2.3,DAKAR,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,2,45.5,https://globalfishingwatch.org/map/vessel/e0d511224-49a9-8047-a2ed-4fc1d0aaf626?&start=2025-03-22&end=2025-03-29
NATA 2,659034000,NAM,NAM,NA,fishing,low,fishing,drifting_longlines,ZAF,CAPE TOWN,11/07/2024 16:45,4,07/01/2025 06:10,4,179.5,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,TRUE,28,TRUE,132,NA,https://globalfishingwatch.org/map/vessel/68a05b872-2f68-ba22-da3d-8de7bfa86302?&start=2024-07-09&end=2025-01-09
PEIX MAR VEINTIOCHO,224275000,ESP,ESP,NA,fishing,high,fishing,trawlers,GNB,BISSAU,31/01/2025 22:02,4,14/03/2025 07:04,4,41.4,DAKAR,TRUE,TRUE,TRUE,9053.729167,"GNB, SEN",FALSE,"IWC, SRFC, ACAP, ICCAT, NAMMCO",FALSE,NA,TRUE,2,92.7,https://globalfishingwatch.org/map/vessel/f838ed30c-cd84-c08a-815c-57b587afac9d?&start=2025-01-29&end=2025-03-16
YINGMING8031,412209008,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,21/12/2024 20:10,4,01/01/2025 09:02,4,10.5,DAKAR,FALSE,TRUE,TRUE,1430.229167,"GNB, SEN",FALSE,"IWC, ICCAT, NAMMCO, ACAP, SRFC",FALSE,NA,TRUE,10,NA,https://globalfishingwatch.org/map/vessel/c5824d985-509c-6d36-cfd9-d45e58e5515b?&start=2024-12-19&end=2025-01-03
ZHEN YUAN YU 820,412420887,CHN,CHN,NA,fishing,high,fishing,trawlers,GIN,CONAKRY,11/01/2025 18:11,4,13/01/2025 12:58,4,1.8,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/ad8a95025-5f3e-81f4-dc75-4f22153a1e34?&start=2025-01-09&end=2025-01-15
HAIXIN29,412549434,CHN,CHN,NA,fishing,high,fishing,unknown,SEN,DAKAR,06/03/2025 19:54,3,25/03/2025 04:38,4,18.3,DAKAR,TRUE,TRUE,TRUE,6480.480556,"GNB, SEN",FALSE,"ICCAT, IWC, NAMMCO, ACAP, SRFC",FALSE,NA,TRUE,6,99.3,https://globalfishingwatch.org/map/vessel/5383e7875-5996-3d2e-1c30-45975f2c9902?&start=2025-03-04&end=2025-03-27
CHANG RONG 8,412549272,CHN,CHN,NA,fishing,high,fishing,drifting_longlines,SEN,DAKAR,03/12/2024 16:59,4,13/01/2025 02:54,4,40.4,DAKAR,FALSE,TRUE,TRUE,538.0911111,NA,TRUE,"NAMMCO, ICCAT, IWC, ACAP",FALSE,NA,TRUE,12,NA,https://globalfishingwatch.org/map/vessel/2d467179f-f1de-c034-8a23-f091c3e4cadf?&start=2024-12-01&end=2025-01-15
DOCE DE JULIO,224910000,ESP,ESP,9978107,fishing,med,fishing,trawlers,GNB,BISSAU,03/02/2025 13:43,4,10/03/2025 09:25,4,34.8,DAKAR,TRUE,TRUE,TRUE,7629.352778,"SEN, GNB",FALSE,"SRFC, NAMMCO, IWC, ICCAT, ACAP",FALSE,NA,FALSE,NA,99.9,https://globalfishingwatch.org/map/vessel/6409b3d06-613e-008e-4380-d7f8cd30019e?&start=2025-02-01&end=2025-03-12
HAIXIN27,412201871,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,27/02/2025 19:31,4,15/03/2025 14:29,4,15.8,DAKAR,TRUE,TRUE,TRUE,1475.069444,"GNB, SEN",FALSE,"ICCAT, IWC, SRFC, NAMMCO, ACAP",FALSE,NA,TRUE,18,45.8,https://globalfishingwatch.org/map/vessel/b7d69a539-9155-ba85-3408-9a93597a3784?&start=2025-02-25&end=2025-03-17
YANGMING8006,412209198,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,15/12/2024 13:36,4,01/01/2025 10:40,4,16.9,DAKAR,FALSE,TRUE,TRUE,1382.736111,GNB,FALSE,"IWC, ACAP, NAMMCO, SRFC, ICCAT",FALSE,NA,TRUE,14,NA,https://globalfishingwatch.org/map/vessel/053be272f-f82e-093f-d86c-862ba01b963d?&start=2024-12-13&end=2025-01-03
ZHONGYUE89,412549153,CHN,CHN,NA,fishing,high,fishing,unknown,SEN,DAKAR,12/01/2025 06:33,4,01/02/2025 17:42,3,20.5,DAKAR,FALSE,TRUE,TRUE,96.36666667,SEN,FALSE,"IWC, ACAP, NAMMCO, ICCAT, SRFC",FALSE,NA,TRUE,2,4.5,https://globalfishingwatch.org/map/vessel/0289c4b7d-d25b-7ee4-40c8-99c438a1bdb7?&start=2025-01-10&end=2025-02-03
YANGMIN8002,412209196,CHN,CHN,NA,fishing,high,fishing,trawlers,GNB,BISSAU,08/03/2025 16:08,4,09/03/2025 17:57,4,1,DAKAR,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,https://globalfishingwatch.org/map/vessel/f23a6145b-bb7f-8e7e-5c7e-61a9e335f577?&start=2025-03-06&end=2025-03-11
YANGMING8005,412209197,CHN,CHN,NA,fishing,high,fishing,trawlers,SEN,DAKAR,05/12/2024 16:04,4,01/01/2025 08:24,4,26.7,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/0069639f1-1b76-f441-db80-7bd4d6f7f9e2?&start=2024-12-03&end=2025-01-03
MENGX27,412209178,CHN,CHN,NA,fishing,med,fishing,trawlers,GIN,CONAKRY,31/12/2024 22:47,4,03/01/2025 11:10,4,2.5,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,https://globalfishingwatch.org/map/vessel/4081c9c0f-ff1e-f4ce-d2a8-2cd39185760d?&start=2024-12-29&end=2025-01-05
MENGXIN28,412209179,CHN,CHN,NA,fishing,high,fishing,trawlers,GIN,CONAKRY,02/01/2025 21:15,4,04/01/2025 19:33,4,1.9,DAKAR,TRUE,TRUE,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,91.5,https://globalfishingwatch.org/map/vessel/3f8a9b005-5228-70e4-68f6-e01b28986820?&start=2024-12-31&end=2025-01-06
