Date added,ssvid,CurrentName,IMO,CurrentFlag,CurrentIrcs,VesselType,GearType,,,,,,,,,,,,,,,,
Original port profile list,311000992,BALTIC SUMMER,8802090,BHS,C6ES9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311001000,BALTIC PATRIOT,9038488,BHS,C6ET9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311001003,BALTIC SPRING,8909070,BHS,C6EU4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311001067,ICE GLACIER,8706789,BHS,C6FC2,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311001076,ICE RUNNER,8311120,BHS,C6FD4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311009400,GREEN KARMOY,8804531,BHS,C6XH2,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311009500,GREEN BODO,8804555,BHS,C6XH3,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311009700,GREEN CRYSTAL,8920995,BHS,C6XH5,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311042400,GREEN MALOY,8804579,BHS,C6YQ9,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311062300,IVAR REEFER,8819938,BHS,C6ZP6,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,311289000,GREEN HONDURAS,8912132,BHS,C6WH8,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,312191000,PLAYA DE AZKORRI,9476111,BLZ,V3ML9,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,312344000,PITUFO,8900892,BLZ,V3PK7,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
Original port profile list,312397000,PRAIA DE SANTA CRUZ,7385203,BLZ,V3OY6,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,312418000,KOMANDOR,9139610,UNKNOWN,UBVW3,Fishing vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,312547000,ALTARRI,9265299,BLZ,V3VQ9,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,312557000,AVEN,9276080,BLZ,V3ZX5,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,312590000,TXORI BERRI,9006033,BLZ,UNKNOWN,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,312997000,ASTRID,8404501,BLZ,V3ZY3,Fishing Vessel,trawler,,,,,,,,,,,,,,,,
Original port profile list,314005000,FEGULUS,9055709,BHS,C6DD4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,325967000,PEARL COAST,8112380,TBC,UNKNOWN,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,332001000,SANT YAGO TRES,8919427,GTM,TGSY3,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,332154000,SANT YAGO UNO,8919439,GTM,TGQU,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,341171000,FENG 95,8814237,KNA,V4LP4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,351698000,LADY ROSEBUD,9412749,PAN,3FAF5,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,352349000,FRIO SHINANO,9073385,PAN,3FNR3,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,352545000,MONTECRUZ,7710276,PAN,3FUH5,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,353154000,CABO DE PALOS,7363700,PAN,HP5179,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,353171000,ALBACORA CARIBE,8716825,PAN,H9HB,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,353919000,ARENE,7928859,PAN,HO2884,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,354747000,GOLFO DE FONSECA,8829440,SLV,H02095,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,355794000,IRENE,8304749,PAN,HP3077,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,355855000,MONTELAURA,7625500,PAN,3FRF5,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,356702000,GALERNA LAU,9861495,PAN,3FWW4,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,357919000,LADY ROSEHIP,9355044,PAN,3EOZ4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,357993000,LADY ROSE,9355032,PAN,3EML2,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,359101000,MONTEFRISA 9,7409176,SLV,YSC3216,Fishing Vessel,Purse Seine,,,,,,,,,,,,,,,,
Original port profile list,370095000,LADY ROSEBAY,9412751,PAN,3FJA8,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,371322000,FENG 95,8814237,KNA,V4LP4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,371996000,ZAHARA DOS,9292333,ESP,UNKNOWN,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,372124000,ZAHARA TRES,9292735,PAN,3EZF8,Support vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,374573000,CAPE CORAL,9699050,PAN,3FME8,Fishing Vessel,Purse seine,,,,,,,,,,,,,,,,
Original port profile list,374996000,FRIO GALICIA,9143752,PAN,3FPV3,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,377256000,BALTIC LORD,9160724,BHS,C6EX4,Carrier vessel,NA,,,,,,,,,,,,,,,,
Original port profile list,377901046,DAE SUNG NO. 226,8744042,UNKNOWN,UNKNOWN,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
Original port profile list,377907051,DAE YOUNG NO. 112,8619390,UNKNOWN,UNKNOWN,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
Original port profile list,377907052,DAE YOUNG NO. 111,8619340,UNKNOWN,UNKNOWN,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
Original port profile list,412200985,CHANG YUAN YU 2,UNKNOWN,CHN,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,412200988,CHANGYUANYU 11,UNKNOWN,CHN,UNKNOWN,Fishing Vessel,UNKNOWN,,,,,,,,,,,,,,,,
Original port profile list,412200989,CHANGYUANYU12,UNKNOWN,CHN,YND,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,412200991,YI FENG1,UNKNOWN,CHN,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,412200992,YIFENGRI,UNKNOWN,UNKNOWN,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,412200997,YI FENG 8,UNKNOWN,CHN,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,412200999,YI FENG 10,UNKNOWN,CHN,UNKNOWN,Fishing Vessel,Trawler,,,,,,,,,,,,,,,,
Original port profile list,412201017,LIAODAZHONGYU 15203,UNKNOWN,CHN,UNKNOWN,Fishing Vessel,UNKNOWN,,,,,,,,,,,,,,,,
Original port profile list,412201808,LONG XING 621,8909769,CHN,BZZO2,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
Original port profile list,412201809,LONG XING 622,UNKNOWN,CHN,UNKNOWN,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
Original port profile list,412201811,LONG XING 623,8910976,CHN,BZZ09,Fishing Vessel,Longline,,,,,,,,,,,,,,,,
