Action,Rationale (Remove / Check),Name,Flag,Vessel type,Gear type,Confidence 2 port visits check,TMT notes,vessel_name,MMSI,Flag2,vessel_class,vessel_type,previous_port_country,previous_port,trip_start,Trip start,trip_end,Trip End ,trip_duration_days,end_port,fishing,fishing_hours,fishing_eez,fishing_hs,fishing_rfmos,encounter,num_encounters,loitering,num_loitering,at_dock,percent_ais_voyage
,,,,,,,,DIMITRIOS I,629009092,GMB,fishing,trawlers,SEN,DAKAR,03/07/2025 23:38,4,3/28/25 9:25,4,"20,4",DAKAR,TRUE,"1,157,763,889",GMB,FALSE,"ICCAT, NAMMCO, SRFC, IWC, ACAP",FALSE,NA,TRUE,2,TRUE,"40,3"
,,,,,,,,GUOJIN901,412549196,CHN,fishing,trawlers,SEN,DAKAR,10/10/2024 06:56,4,02/01/2025 20:24,4,"114,5",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA
CHECK,,,,fishing,unknown,,,YI FENG 25,412209122,CHN,fishing,unknown,SEN,DAKAR,03/05/2025 10:04,4,3/20/25 13:53,4,"15,1",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,8,TRUE,"57,7"
,,,,,,,,YIFENG28,412209126,CHN,fishing,trawlers,SEN,DAKAR,03/06/2025 21:09,4,3/21/25 6:06,4,"14,3",DAKAR,TRUE,"2,470,495,833","GNB, SEN",FALSE,"NAMMCO, ACAP, SRFC, ICCAT, IWC",FALSE,NA,TRUE,7,TRUE,"75,4"
CHECK,,,,fishing,Trawlers,,,YIFENG29,412209127,CHN,fishing,trawlers,GNB,BISSAU,2/13/25 21:38,4,2/28/25 17:03,4,"14,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,7,TRUE,"76,2"
,,,,,,,,CIUDAD DE HUELVA,225987981,ESP,fishing,trawlers,GNB,BISSAU,1/31/25 21:16,4,3/17/25 8:06,4,"44,4",DAKAR,TRUE,"9,798,236,111","GNB, SEN",FALSE,"ACAP, ICCAT, NAMMCO, IWC, SRFC",FALSE,NA,FALSE,NA,TRUE,100
,,,,,,,,TIANG EI HU,412209083,CHN,fishing,trawlers,SEN,DAKAR,2/14/25 22:43,4,03/07/2025 22:26,4,21,DAKAR,TRUE,"4,279,347,222","GNB, SEN",FALSE,"NAMMCO, ICCAT, SRFC, ACAP, IWC",FALSE,NA,TRUE,11,TRUE,"20,2"
,,,,,,,,YIFENG10,412200999,CHN,fishing,trawlers,SEN,DAKAR,2/22/25 17:00,4,2/24/25 11:31,4,"1,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,1,TRUE,"69,8"
,,,,,,,,MENGXIN23,412209173,CHN,fishing,trawlers,GIN,CONAKRY,01/02/2025 21:12,4,01/04/2025 19:25,4,"1,9",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"40,4"
,,,,,,,,FU YUAN YU 7853,412440815,CHN,fishing,drifting_longlines,SEN,DAKAR,10/16/24 15:09,4,01/05/2025 12:24,4,"80,9",DAKAR,TRUE,"3,318,466,667",NA,TRUE,"ICCAT, IWC, ACAP, NAMMCO",FALSE,NA,TRUE,3,NA,NA
CHECK,,,,fishing,Trawlers,,,YI FENG 9,412200998,CHN,fishing,trawlers,SEN,DAKAR,03/09/2025 16:40,4,3/14/25 12:22,4,"4,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,3,TRUE,"57,3"
,,,,,,,,ALFONSO RIERA SEGUND,224032270,ESP,fishing,trawlers,MRT,CANSADO,3/24/25 19:47,4,3/26/25 14:21,4,"1,8",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,100
CHECK,,SHENG HAI 3,,,unknown,,,SHENG HAI 3,412201826,CHN,fishing,unknown,GIN,CONAKRY,01/03/2025 11:37,4,01/11/2025 05:27,4,"7,7",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,"20,3"
,,,,,,,,FU YUAN YU 7852,412440814,CHN,fishing,drifting_longlines,SEN,DAKAR,10/09/2024 17:02,4,01/06/2025 04:45,4,"88,5",DAKAR,TRUE,"4,189,416,667",NA,TRUE,"ICCAT, ACAP, IWC",FALSE,NA,TRUE,4,NA,NA
,,,,,,,,HAIXIN24,412201867,CHN,fishing,trawlers,SEN,DAKAR,2/27/25 19:40,4,3/16/25 10:57,4,"16,6",DAKAR,TRUE,"9,003,527,778","GNB, SEN",FALSE,"ACAP, ICCAT, NAMMCO, IWC, SRFC",FALSE,NA,TRUE,9,TRUE,"32,8"
,,,,,,,,YUAN YU 891,412549342,CHN,fishing,trawlers,GNB,BISSAU,1/18/25 11:22,4,1/19/25 22:06,4,"1,4",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
,,,,,unknown,,,ZHENYUANYU822,412420882,CHN,fishing,unknown,SEN,DAKAR,02/07/2025 21:22,3,03/09/2025 04:22,4,"29,3",DAKAR,TRUE,"6,630,566,667",SEN,FALSE,"ICCAT, NAMMCO, ACAP, IWC, SRFC",TRUE,3,TRUE,11,TRUE,80
REMOVE ,not reefer,,,,,,,CARIBBEAN STAR,636013068,LBR,carrier,carrier,CIV,ABIDJAN,01/03/2025 05:00,4,01/06/2025 18:01,4,"3,5",DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,100
REMOVE ,not reefer,,,,,,,COTE D IVOIRIAN STAR,636014241,LBR,carrier,carrier,CIV,ABIDJAN,2/20/25 18:37,4,2/23/25 19:25,4,3,DAKAR,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"86,5"
,,,,,,,,MIN LONG YU61146,412444322,CHN,fishing,trawlers,GNB,BISSAU,01/05/2025 08:54,4,01/06/2025 14:40,4,"1,2",DAKAR,TRUE,"1,299,166,667",SEN,FALSE,"ACAP, SRFC, ICCAT, IWC, NAMMCO",FALSE,NA,FALSE,NA,TRUE,"93,5"
,,,,,,,,YANGMIN8002,412209196,CHN,fishing,trawlers,GNB,BISSAU,12/24/24 23:14,4,01/01/2025 07:20,4,"7,3",DAKAR,TRUE,"1,613,841,667","GNB, SEN",FALSE,"SRFC, ACAP, NAMMCO, ICCAT, IWC",FALSE,NA,FALSE,NA,NA,NA
