"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"AVRA","312756000","BLZ","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-07-05 10:26:39,4,2024-07-30 08:21:50,4,24.9,"ABIDJAN",NA,TRUE,6.30833333333333,NA,TRUE,"IWC, ICCAT, ACAP",FALSE,NA,FALSE,NA,6.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/68ab5e789-96a1-fd61-016c-92bd413a9682?&start=2024-07-03&end=2024-08-01"")"
"ZUBEROA","224587000","ESP","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-08-14 05:43:17,4,2024-09-11 05:55:18,4,28,"ABIDJAN",NA,TRUE,6.71666666666667,NA,TRUE,"ICCAT, ACAP, IWC",FALSE,NA,TRUE,2,6.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcefb03af-f441-973d-84c3-df67066f5a56?&start=2024-08-12&end=2024-09-13"")"
"F/V GUEOTEC","227549000","FRA","fishing","tuna_purse_seines","CIV","ABIDJAN",2024-08-02 07:55:30,4,2024-08-15 07:50:24,4,13,"ABIDJAN",NA,TRUE,40.875,"CIV",FALSE,"ICCAT, IWC, ACAP, NAMMCO, FCWC",TRUE,2,TRUE,2,5.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/96e442d84-489f-962f-588a-33e367aa0330?&start=2024-07-31&end=2024-08-17"")"
"JC GLORIA","312155000","BLZ","cargo","cargo","CIV","ABIDJAN",2024-08-09 05:34:46,4,2024-08-11 06:50:07,4,2,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ba4343d28-82b7-2393-0c4d-15ac0c4951fb?&start=2024-08-07&end=2024-08-13"")"
"DICHA UNO","312697000","BLZ","cargo","cargo","GHA","TEMA",2024-09-20 09:10:47,4,2024-09-24 13:20:43,4,4.2,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,30.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2842f60c5-5d09-d79a-ea8d-a65b3a62a81b?&start=2024-09-18&end=2024-09-26"")"
"ATLANTIC GLORY","312864000","BLZ","fishing","tuna_purse_seines","GHA","TEMA",2024-06-18 18:53:21,4,2024-07-10 08:05:07,4,21.5,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f2134364c-c3d5-8ee9-ddd4-5511c0500a50?&start=2024-06-16&end=2024-07-12"")"
"PLAYA DE LAGA","312360000","BLZ","fishing","inconclusive","CIV","ABIDJAN",2024-07-04 20:49:34,4,2024-07-18 06:55:42,4,13.4,"ABIDJAN",NA,TRUE,133.873611111111,"CIV",FALSE,"FCWC, ACAP, ICCAT, NAMMCO, IWC",FALSE,NA,TRUE,4,24.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/cc6b54a24-4542-6ce9-1e91-d4f17daeeda5?&start=2024-07-02&end=2024-07-20"")"
"F/V ALBACORA QUINCE","224727000","ESP","fishing","tuna_purse_seines","CIV","PORT BOUET ANCHORAGE",2024-09-16 09:32:39,4,2024-09-16 11:20:29,4,0,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/83487d338-8fba-2645-7342-563c4cb5611f?&start=2024-09-14&end=2024-09-18"")"
"SYDNEY SOFIA","356262000","PAN","fishing","inconclusive","CIV","ABIDJAN",2024-07-23 09:23:18,4,2024-08-01 06:09:50,4,8.8,"ABIDJAN",NA,TRUE,144.015555555556,"SLE, LBR, CIV",TRUE,"ICCAT, SRFC, IWC, FCWC, ACAP, NAMMCO",FALSE,NA,TRUE,8,95.8,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f2de78309-99b3-6b6a-2926-8af2b3051672?&start=2024-07-21&end=2024-08-03"")"
"VOLTA GLORY","627047000","GHA","carrier","carrier","GHA","TEMA",2024-08-31 10:02:21,4,2024-09-02 10:38:26,4,2,"ABIDJAN",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/321c72ecf-fb14-deda-49a2-2451e9e35a47?&start=2024-08-29&end=2024-09-04"")"
