"vessel_name","MMSI","Flag","vessel_class","vessel_type","previous_port_country","previous_port","trip_start","trip_start_confidence","trip_end","trip_end_confidence","trip_duration_days","end_port","at_dock","fishing","fishing_hours","fishing_eez","fishing_hs","fishing_rfmos","encounter","num_encounters","loitering","num_loitering","percent_ais_voyage","vv_url"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-12-22 09:54:43,4,2024-12-23 21:10:15,4,1.5,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-12-20&end=2024-12-25"")"
"STANDARD ENDEAVOUR","312033000","BLZ","fishing","pots_and_traps","PHL","MANILA",2024-11-02 17:17:02,4,2024-11-04 19:16:21,4,2,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,17.6,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fed244af9-9553-f635-e6df-58ba139654fb?&start=2024-10-31&end=2024-11-06"")"
"KIRY","572471220","TUV","fishing","inconclusive","PHL","MANILA",2024-04-05 14:48:43,4,2024-12-13 08:00:19,3,251.7,"MANILA",NA,TRUE,528.1125,"PHL",FALSE,"APFIC, WCPFC, IWC, SEAFDEC, ACAP",FALSE,NA,TRUE,44,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a6f78f721-1c6b-dac3-39b0-f0945784f8e0?&start=2024-04-03&end=2024-12-15"")"
"YUEYANGXIYU21283","412472916","CHN","fishing","set_gillnets","PHL","MANILA",2024-11-05 03:11:20,4,2024-12-22 00:19:17,4,46.9,"MANILA",NA,TRUE,38.7866666666667,"CHN",FALSE,"IWC, WCPFC, ACAP, APFIC",TRUE,17,TRUE,1,29.9,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/145129990-0d28-9333-a5a4-b69ee4db18f8?&start=2024-11-03&end=2024-12-24"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-11-04 03:12:29,4,2024-11-05 08:56:39,4,1.2,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-11-02&end=2024-11-07"")"
"XIANGHANG555","312328000","BLZ","fishing","inconclusive","PHL","MANILA",2024-11-02 11:07:19,4,2024-11-03 16:47:44,4,1.2,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/35361d9f5-5331-1055-674f-4aa2c39ee00d?&start=2024-10-31&end=2024-11-05"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-12-04 18:13:09,4,2024-12-07 06:11:50,4,2.5,"MANILA",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,FALSE,NA,82,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-12-02&end=2024-12-09"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-12-09 07:08:28,4,2024-12-11 15:07:19,4,2.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,TRUE,1,FALSE,NA,96.5,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-12-07&end=2024-12-13"")"
"HENG DA988","667001590","SLE","fishing","inconclusive","PHL","MANILA",2024-11-05 23:22:26,4,2024-11-06 23:39:33,4,1,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,84,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ff9193f93-31f7-d71d-b83f-79a2fab04561?&start=2024-11-03&end=2024-11-08"")"
"NXT GENESIS","636022043","LBR","other","other","CHN","LIANYUNGANG",2024-11-05 08:13:02,4,2024-11-09 20:53:49,4,4.5,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,TRUE,2,89,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c1df75bc8-819f-1770-1618-f1d0193eab17?&start=2024-11-03&end=2024-11-11"")"
"NXT GENESIS","636022043","LBR","other","other","CHN","LIANYUNGANG",2024-11-20 22:51:09,4,2024-11-24 00:40:41,4,3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,54.7,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c1df75bc8-819f-1770-1618-f1d0193eab17?&start=2024-11-18&end=2024-11-26"")"
"HENG DA 99","667001661","SLE","cargo","cargo","PHL","MANILA",2024-11-09 01:30:12,4,2024-11-11 08:44:01,4,2.3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3e729723f-ff3c-ff9f-e951-7c583e79a8a4?&start=2024-11-07&end=2024-11-13"")"
NA,"533132215","MYS","fishing","trawlers","PHL","SUBIC",2024-10-16 06:38:16,4,2024-10-19 07:39:26,4,3,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,NA,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/0fb40a984-454f-8b2a-5e39-fbb0f711231e?&start=2024-10-14&end=2024-10-21"")"
"QUEEN ELLICE","572735000","TUV","fishing","tuna_purse_seines","TWN","KAOHSIUNG",2024-11-02 03:21:10,4,2024-11-03 23:00:41,4,1.8,"MANILA",NA,FALSE,NA,NA,FALSE,NA,FALSE,NA,FALSE,NA,100,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9dbf8a03d-db36-5e06-dc8d-25626abfd6aa?&start=2024-10-31&end=2024-11-05"")"
